timeframe,n_obs,lag_k,market_y,pearson_r,pearson_p,coint_t,coint_p,coint_crit_1pct,coint_crit_5pct,coint_crit_10pct,adf_resid_stat,adf_resid_p,adf_resid_crit_1pct,adf_resid_crit_5pct,adf_resid_crit_10pct,ols_alpha,ols_beta,n_used,sample_start,sample_end,is_cointegrated_coint_p_5pct,is_cointegrated_adf_p_5pct,evidence_any_5pct
1m,1000,3,KRW-ETH,0.6855803289385367,9.354957787466415e-140,-1.615801839160631,0.714174278713539,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.5203087786710467,0.11061084754648692,-3.4369860032923145,-2.8644697838498376,-2.5683299626694422,-36102.447321251035,0.041344532637542786,988,2025-08-26 12:58:00,2025-08-27 05:37:00,False,False,False
1m,1000,5,KRW-ETH,0.6752284690414342,4.598807723476688e-134,-1.9414472430889869,0.5588476904333691,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.6184804449864663,0.08923757108694047,-3.4369927443074353,-2.864472756705845,-2.568331546097238,60872.548246487975,0.040721312419717215,987,2025-08-26 12:56:00,2025-08-27 05:35:00,False,False,False
1m,1000,10,KRW-ETH,0.6513036842015905,9.220934824598454e-122,-1.7025928130283456,0.675719334740855,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.310665147379556,0.1685513177978561,-3.437054035425408,-2.8644997864059363,-2.5683459429326576,287005.523076728,0.03926802994357037,978,2025-08-26 12:51:00,2025-08-27 05:30:00,False,False,False
1m,1000,3,KRW-XRP,0.6337743871952757,1.9640150950096152e-113,-2.102594521897431,0.475010985393398,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.3160331966960555,0.1668490754617259,-3.4369391965679257,-2.86444914142694,-2.5683189679553546,-1822.5725515115191,3.8600121300337304e-05,995,2025-08-26 12:58:00,2025-08-27 05:37:00,False,False,False
1m,1000,5,KRW-XRP,0.6243630764319912,3.518781220257073e-109,-2.0893042998866305,0.4819592237548845,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.4272977755959353,0.13417955838408485,-3.4369927443074353,-2.864472756705845,-2.568331546097238,-1733.5346405390737,3.802791199288745e-05,987,2025-08-26 12:56:00,2025-08-27 05:35:00,False,False,False
1m,1000,10,KRW-XRP,0.6029494679759682,5.014982783567098e-100,-1.8910939247157945,0.5845170469229701,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.375315924439084,0.14882483808393954,-3.4369927443074353,-2.864472756705845,-2.568331546097238,-1529.0736178277148,3.671391866450391e-05,987,2025-08-26 12:51:00,2025-08-27 05:30:00,False,False,False
1m,1000,3,KRW-CRO,0.0747904413803786,0.018008812400655157,-1.5075995383995124,0.7582664480167074,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-1.7001547988761387,0.4310327215954662,-3.4369193380671,-2.864440383452517,-2.56831430323573,145.89632530882682,9.102464792988882e-07,998,2025-08-26 12:58:00,2025-08-27 05:37:00,False,False,False
1m,1000,5,KRW-CRO,0.06812288963720617,0.03123677959795976,-1.4226728035636742,0.7896360141235574,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-1.691114893985314,0.43569606718749443,-3.4369193380671,-2.864440383452517,-2.56831430323573,158.51730326659526,8.291197417672303e-07,998,2025-08-26 12:56:00,2025-08-27 05:35:00,False,False,False
1m,1000,10,KRW-CRO,0.050812823765174056,0.1083024104100403,-1.4745331004252606,0.7708274412259595,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-1.6968422525408149,0.43274017339707305,-3.4369193380671,-2.864440383452517,-2.56831430323573,191.31804219749756,6.182755628188062e-07,998,2025-08-26 12:51:00,2025-08-27 05:30:00,False,False,False
1m,1000,3,KRW-SOL,0.46090815664504037,9.629591372933866e-54,-1.5404517000320865,0.7453560640929414,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-0.5728038564972873,0.8770095936434761,-3.4369391965679257,-2.86444914142694,-2.5683189679553546,-231273.98442337196,0.0032487959239738268,995,2025-08-26 12:58:00,2025-08-27 05:37:00,False,False,False
1m,1000,5,KRW-SOL,0.4539799031139111,5.337291350901492e-52,-1.3365201406995342,0.8184435864553004,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-0.4787404612200138,0.89609881058725,-3.43706091543889,-2.8645028204932483,-2.568347558984588,-223688.02407825366,0.003200043989940067,977,2025-08-26 12:56:00,2025-08-27 05:35:00,False,False,False
1m,1000,10,KRW-SOL,0.43794604562136,4.0908432206983274e-48,-1.320086172246473,0.8235924326092848,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-0.4719496646095629,0.8973750763764059,-3.437054035425408,-2.8644997864059363,-2.5683459429326576,-205974.17553621717,0.0030862029835300175,978,2025-08-26 12:51:00,2025-08-27 05:30:00,False,False,False
1m,1000,3,KRW-BERA,0.5019534485080281,6.160288261160838e-65,-2.0531106862415944,0.5008836656767363,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.7478639914264313,0.0661155572624837,-3.4369127451400474,-2.864437475834273,-2.568312754566378,-7690.675333262829,7.301329221623008e-05,999,2025-08-26 12:58:00,2025-08-27 05:37:00,False,False,False
1m,1000,5,KRW-BERA,0.5050815703827993,7.453905261674233e-66,-1.8793382685784257,0.5904483224973389,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.743724932712582,0.06677271417067078,-3.4369127451400474,-2.864437475834273,-2.568312754566378,-7761.713569240921,7.347021220320451e-05,999,2025-08-26 12:56:00,2025-08-27 05:35:00,False,False,False
1m,1000,10,KRW-BERA,0.5135194625427243,2.2397080797518366e-68,-2.345723767420662,0.3509726000953677,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-2.8544505517040477,0.050906964411967154,-3.4369127451400474,-2.864437475834273,-2.568312754566378,-7949.462056375232,7.467775218338577e-05,999,2025-08-26 12:51:00,2025-08-27 05:30:00,False,False,False
1m,1000,3,KRW-DOGE,0.6029445291161886,5.038495961444658e-100,-1.684381942995171,0.6839996587588895,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-1.2956427836429578,0.6311633802870141,-3.4369658620871286,-2.8644609013346485,-2.56832523159495,-129.65481795908545,2.789697715066254e-06,991,2025-08-26 12:56:00,2025-08-27 05:37:00,False,False,False
1m,1000,5,KRW-DOGE,0.5942961675443618,1.6060142700709602e-96,-1.8301574510782816,0.6149612339004901,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-1.2931831672700391,0.6322852235769864,-3.4369994990319355,-2.8644757356011743,-2.5683331327427803,-123.31995794268641,2.748996288052337e-06,986,2025-08-26 12:54:00,2025-08-27 05:35:00,False,False,False
1m,998,10,KRW-DOGE,0.5691756303380195,9.386768027761366e-87,-1.5496519828205844,0.7416646837420895,-3.9074585836345546,-3.3422653495793297,-3.048706698279392,-1.328847343850042,0.6158734831353202,-3.4370198458812156,-2.864484708707697,-2.568337912084273,-104.49409037451005,2.628047060717725e-06,983,2025-08-26 12:51:00,2025-08-27 05:30:00,False,False,False
1m,1000,3,KRW-QTUM,-0.257631177024082,1.2638525293081953e-16,-1.7400326991993935,0.6583666905153832,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-1.9015032173959443,0.33135428059354366,-3.4370062675076807,-2.8644787205542492,-2.568334722615888,10162.628355068126,-3.865290328082814e-05,985,2025-08-26 12:56:00,2025-08-27 05:37:00,False,False,False
1m,1000,5,KRW-QTUM,-0.25613864761004357,1.9145567460698412e-16,-1.5690156457556435,0.7337887141942738,-3.907436457017578,-3.3422530528827123,-3.048698170893616,-1.7436347061120394,0.40878226843935667,-3.436979275944879,-2.8644668170148058,-2.5683283824496153,10126.284104173588,-3.841955153563979e-05,989,2025-08-26 12:54:00,2025-08-27 05:35:00,False,False,False
1m,998,10,KRW-QTUM,-0.250784771580334,8.874704214081565e-16,-1.636452857199238,0.7052611744843694,-3.9074585836345546,-3.3422653495793297,-3.048706698279392,-1.7219731815629613,0.41982826785141575,-3.4369927443074353,-2.864472756705845,-2.568331546097238,10001.616748385699,-3.761833803546226e-05,987,2025-08-26 12:51:00,2025-08-27 05:30:00,False,False,False
